protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem
absolute,1.8,256,105,0.0003,etaabs_3em04,0.0003,absolute_a1p80_N256_seed105_etaabs_3em04
absolute,1.8,256,105,0.001,etaabs_1em03,0.001,absolute_a1p80_N256_seed105_etaabs_1em03
absolute,1.8,256,105,0.003,etaabs_3em03,0.003,absolute_a1p80_N256_seed105_etaabs_3em03
absolute,1.74,64,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed101_etaabs_1em04
absolute,1.74,64,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed101_etaabs_3em04
absolute,1.74,64,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed101_etaabs_1em03
absolute,1.74,64,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed101_etaabs_3em03
absolute,1.74,64,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed102_etaabs_1em04
absolute,1.74,64,102,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed102_etaabs_3em04
absolute,1.74,64,102,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed102_etaabs_1em03
absolute,1.74,64,102,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed102_etaabs_3em03
absolute,1.74,64,103,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed103_etaabs_1em04
absolute,1.74,64,103,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed103_etaabs_3em04
absolute,1.74,64,103,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed103_etaabs_1em03
absolute,1.74,64,103,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed103_etaabs_3em03
absolute,1.74,64,104,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed104_etaabs_1em04
absolute,1.74,64,104,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed104_etaabs_3em04
absolute,1.74,64,104,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed104_etaabs_1em03
absolute,1.74,64,104,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed104_etaabs_3em03
absolute,1.74,64,105,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed105_etaabs_1em04
absolute,1.74,64,105,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed105_etaabs_3em04
absolute,1.74,64,105,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed105_etaabs_1em03
absolute,1.74,64,105,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed105_etaabs_3em03
absolute,1.74,128,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed101_etaabs_1em04
absolute,1.74,128,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed101_etaabs_3em04
absolute,1.74,128,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed101_etaabs_1em03
absolute,1.74,128,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed101_etaabs_3em03
absolute,1.74,128,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed102_etaabs_1em04
absolute,1.74,128,102,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed102_etaabs_3em04
absolute,1.74,128,102,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed102_etaabs_1em03
absolute,1.74,128,102,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed102_etaabs_3em03
absolute,1.74,128,103,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed103_etaabs_1em04
absolute,1.74,128,103,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed103_etaabs_3em04
absolute,1.74,128,103,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed103_etaabs_1em03
absolute,1.74,128,103,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed103_etaabs_3em03
absolute,1.74,128,104,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed104_etaabs_1em04
absolute,1.74,128,104,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed104_etaabs_3em04
absolute,1.74,128,104,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed104_etaabs_1em03
absolute,1.74,128,104,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed104_etaabs_3em03
absolute,1.74,128,105,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N128_seed105_etaabs_1em04
absolute,1.74,128,105,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N128_seed105_etaabs_3em04
absolute,1.74,128,105,0.001,etaabs_1em03,0.001,absolute_a1p74_N128_seed105_etaabs_1em03
absolute,1.74,128,105,0.003,etaabs_3em03,0.003,absolute_a1p74_N128_seed105_etaabs_3em03
absolute,1.74,256,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed101_etaabs_1em04
absolute,1.74,256,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N256_seed101_etaabs_3em04
absolute,1.74,256,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N256_seed101_etaabs_1em03
absolute,1.74,256,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed101_etaabs_3em03
absolute,1.74,256,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N256_seed102_etaabs_1em04
